BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
40:00:00:31:DD:5A,,Sony Corporation,-68,-3,10
6E:42:06:53:14:D5,,Apple,-93,12,10
01:A8:3A:65:01:91,,,-94,-127,10
DE:E5:12:5F:85:14,,Apple,-80,-127,10
F1:47:EA:35:C8:ED,,Apple,-90,-127,10
4B:97:48:05:F5:3F,,Samsung Electronics,-93,-127,10
9C:56:36:FD:49:7D,HUAWEI FreeBuds SE,,-81,-127,10
D9:EA:D2:8F:B9:69,,Apple,-76,-127,10
71:6C:09:51:39:99,,Apple,-87,-127,10
7D:6A:0E:16:F7:26,,Apple,-99,-127,10
50:5E:32:8F:E9:7D,,,-97,-127,10
41:BB:00:CC:2E:70,Bowie WM01,,-75,-127,10
53:DA:65:4F:DF:7C,,Apple,-98,-127,10
37:FA:B7:30:E8:50,,Apple,-76,-127,10
71:CD:53:3F:3C:DC,,Apple,-90,-127,10
79:A7:8E:F6:FC:B0,,Apple,-89,7,10
70:28:45:6E:7C:BC,Oclean X,,-93,-127,10
52:6D:6B:E3:5E:E6,,Apple,-94,12,10
44:67:9C:5D:D6:E3,,Apple,-86,12,10
59:26:ED:C4:C6:4F,,Apple,-74,11,10
56:44:15:6C:D3:99,,Apple,-67,12,10
76:60:57:78:DC:6B,,Apple,-77,-127,10
58:B2:3C:D1:1D:32,,Apple,-91,12,10
41:AA:66:3A:93:DA,Bowie D05,,-88,-127,10
4D:07:31:CB:80:87,,Apple,-78,8,10
7A:12:5D:33:83:E6,,Apple,-82,17,10
64:5A:AE:43:3F:E6,,,-97,-127,10
15:75:AF:32:B6:27,,Google,-92,-127,10
50:1B:B2:82:D9:9D,,Apple,-80,12,10
18:DA:FA:A9:5E:FD,,Google,-87,-127,10
E6:00:A8:DC:25:A1,,Apple,-87,-127,10
75:E8:49:40:57:EC,,Samsung Electronics,-94,-127,10
53:E6:73:3F:76:AA,,Apple,-95,5,10
5A:12:8B:D2:4B:DF,,Apple,-97,11,10
FE:60:DE:63:90:28,Mi Smart Band 5,Anhui Huami Information Technology,-86,-127,10
41:AA:66:65:57:A1,Bowie WM05,,-84,-127,10
B8:8E:82:97:5C:23,,,-95,-127,10
63:4F:E7:49:3C:42,,Apple,-98,-127,10
FC:C6:03:A2:08:C1,,Apple,-78,-127,10
5D:FF:B1:7A:50:94,,Apple,-72,-127,10
5C:14:CD:1A:61:EA,,Apple,-98,9,10
41:76:03:88:5D:A6,,Apple,-97,-127,10
59:39:B4:7F:0C:ED,,,-94,-127,10
DC:93:78:5B:C2:A4,,Apple,-87,-127,10
51:1D:ED:AC:79:BA,,Apple,-92,-127,10
7B:53:1E:E8:04:F8,,,-86,-12,10
6E:75:55:0F:24:42,,,-85,-127,10
5F:64:8E:0B:92:53,,Samsung Electronics,-92,-127,10
56:B9:7A:C5:7D:5A,,Apple,-94,12,10
71:36:68:8F:CD:F1,,Apple,-95,-127,10
7A:05:8A:F9:F1:8C,,Samsung Electronics,-92,-127,10
F1:BE:1B:A7:B0:A2,,Apple,-86,-127,10
C1:5E:8C:D4:C3:AF,,,-86,-15,10
C6:86:4D:44:C8:68,,Apple,-91,-127,10
C2:63:EF:8C:75:C3,,Apple,-92,-127,10
40:AC:34:97:6F:08,,Apple,-74,12,10
68:BC:84:AC:B6:FA,,,-91,-127,10
E4:DE:D8:DD:F7:93,,Apple,-79,-127,10
3D:D5:61:A6:A0:A2,,Google,-94,-127,10
5D:EC:E9:1C:2D:85,,Apple,-99,-127,10
7C:A5:3C:87:DA:40,,,-94,-127,10
52:30:EB:47:01:AB,,Google,-96,-127,10
45:CA:51:C3:4B:46,,Apple,-92,12,10
6E:A4:5F:64:B3:0F,,Apple,-80,-127,10
EC:65:E6:A1:66:27,,Apple,-99,-127,10
